,B02001_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03001_002E,B03001_003E,zipcode
"ZCTA5 11385: Summary level: unknown, state:36> zip code tabulation area:11385",107796,89663,3827,547,8080,153,8533,59236,48560,11385
"ZCTA5 11411: Summary level: unknown, state:36> zip code tabulation area:11411",20719,737,19517,58,102,0,619,19441,1278,11411
"ZCTA5 11412: Summary level: unknown, state:36> zip code tabulation area:11412",37857,1282,33939,474,1102,132,1752,35613,2244,11412
"ZCTA5 11413: Summary level: unknown, state:36> zip code tabulation area:11413",41650,1284,38617,271,660,63,1386,39273,2377,11413
"ZCTA5 11414: Summary level: unknown, state:36> zip code tabulation area:11414",28313,23807,1459,220,1712,9,3076,22149,6164,11414
"ZCTA5 11415: Summary level: unknown, state:36> zip code tabulation area:11415",18891,11986,1654,357,3345,34,2281,14143,4748,11415
"ZCTA5 11416: Summary level: unknown, state:36> zip code tabulation area:11416",26744,8668,2290,157,9663,51,7937,14694,12050,11416
"ZCTA5 11417: Summary level: unknown, state:36> zip code tabulation area:11417",31321,12071,3132,236,10081,192,7383,19572,11749,11417
"ZCTA5 11418: Summary level: unknown, state:36> zip code tabulation area:11418",38405,16475,4122,636,10138,152,9276,20699,17706,11418
"ZCTA5 11419: Summary level: unknown, state:36> zip code tabulation area:11419",48369,5419,9213,730,18021,674,17612,39260,9109,11419
"ZCTA5 11420: Summary level: unknown, state:36> zip code tabulation area:11420",47470,8762,13556,969,17059,546,9804,35598,11872,11420
"ZCTA5 11421: Summary level: unknown, state:36> zip code tabulation area:11421",41251,18998,2628,421,8846,29,13407,16896,24355,11421
"ZCTA5 11422: Summary level: unknown, state:36> zip code tabulation area:11422",32761,2508,28139,389,1004,157,1465,29190,3571,11422
"ZCTA5 11423: Summary level: unknown, state:36> zip code tabulation area:11423",30104,4202,12617,362,9374,0,4994,25991,4113,11423
"ZCTA5 11424: Summary level: unknown, state:36> zip code tabulation area:11424",0,0,0,0,0,0,0,0,0,11424
"ZCTA5 11425: Summary level: unknown, state:36> zip code tabulation area:11425",0,0,0,0,0,0,0,0,0,11425
"ZCTA5 11426: Summary level: unknown, state:36> zip code tabulation area:11426",20524,8021,1399,275,9533,11,2159,16432,4092,11426
"ZCTA5 11427: Summary level: unknown, state:36> zip code tabulation area:11427",24560,6898,5443,520,9061,123,3765,19776,4784,11427
"ZCTA5 11428: Summary level: unknown, state:36> zip code tabulation area:11428",18836,4790,4870,310,5778,306,4966,14093,4743,11428
"ZCTA5 11429: Summary level: unknown, state:36> zip code tabulation area:11429",27454,1181,20585,307,1600,229,4427,23648,3806,11429
"ZCTA5 11430: Summary level: unknown, state:36> zip code tabulation area:11430",206,34,139,0,6,0,27,138,68,11430
"ZCTA5 11432: Summary level: unknown, state:36> zip code tabulation area:11432",64299,13821,11473,978,29035,353,11968,49133,15166,11432
"ZCTA5 11433: Summary level: unknown, state:36> zip code tabulation area:11433",37021,1901,24406,260,3841,84,7398,30693,6328,11433
"ZCTA5 11434: Summary level: unknown, state:36> zip code tabulation area:11434",64304,2941,56180,485,2547,121,3780,59097,5207,11434
"ZCTA5 11435: Summary level: unknown, state:36> zip code tabulation area:11435",59605,11982,15658,867,14832,150,18657,40909,18696,11435
"ZCTA5 11436: Summary level: unknown, state:36> zip code tabulation area:11436",19167,1301,12665,299,2114,228,3812,16352,2815,11436
"ZCTA5 11451: Summary level: unknown, state:36> zip code tabulation area:11451",0,0,0,0,0,0,0,0,0,11451
"ZCTA5 11559: Summary level: unknown, state:36> zip code tabulation area:11559",8192,7080,103,50,201,0,758,7293,899,11559
"ZCTA5 11580: Summary level: unknown, state:36> zip code tabulation area:11580",42990,15469,15385,107,7246,212,6800,31953,11037,11580
"ZCTA5 11691: Summary level: unknown, state:36> zip code tabulation area:11691",68543,26395,33839,525,2585,246,7123,50087,18456,11691
"ZCTA5 11692: Summary level: unknown, state:36> zip code tabulation area:11692",22074,5123,13483,243,1285,26,2387,16934,5140,11692
"ZCTA5 11693: Summary level: unknown, state:36> zip code tabulation area:11693",12944,8265,3186,133,633,0,1401,9132,3812,11693
"ZCTA5 11694: Summary level: unknown, state:36> zip code tabulation area:11694",21202,17621,1437,339,728,0,1338,17985,3217,11694
"ZCTA5 11697: Summary level: unknown, state:36> zip code tabulation area:11697",3674,3490,23,0,24,0,137,3425,249,11697
"ZCTA5 10301: Summary level: unknown, state:36> zip code tabulation area:10301",38280,24396,10383,303,2789,74,2229,28822,9458,10301
